iter	RMSE
0	0.4636281642
1	0.4414386248
2	0.4269554631
3	0.4172476403
4	0.4105759457
5	0.4058217874
6	0.4025762929
7	0.400315444
8	0.3985281849
9	0.3969766813
10	0.3958249189
11	0.3947717798
12	0.3940617567
13	0.3931708156
14	0.3925267528
15	0.3920198553
16	0.3914216237
17	0.3910184668
18	0.3906582542
19	0.3901789947
20	0.3898118389
21	0.3895618465
22	0.3892062049
23	0.3888846862
24	0.388630426
25	0.3884001394
26	0.3882177683
27	0.3880754503
28	0.3878375926
29	0.3876477637
30	0.3875066744
31	0.3873021508
32	0.387146494
33	0.3870405093
34	0.3869220957
35	0.386827775
36	0.3866915924
37	0.3865667644
38	0.3864423286
39	0.3862047634
40	0.3860914148
41	0.3859743169
42	0.3858928956
43	0.3858183241
44	0.385718853
45	0.3855365469
46	0.3854649092
47	0.3853525671
48	0.385241334
49	0.3851449038
50	0.3850168015
51	0.3849018865
52	0.3847782047
53	0.3846819553
54	0.3845504754
55	0.3844244595
56	0.3842928889
57	0.3841806744
58	0.3840886331
59	0.383972825
60	0.3838588498
61	0.3837626297
62	0.3836782337
63	0.3835895642
64	0.3834837279
65	0.383398812
66	0.3833066335
67	0.3831889824
68	0.3830925306
69	0.3829969339
70	0.3829066556
71	0.3827991543
72	0.3827222068
73	0.3826609297
74	0.3825656907
75	0.3824552865
76	0.3823905282
77	0.3823030607
78	0.3822599951
79	0.3821798554
80	0.3820881971
81	0.3820081185
82	0.3819272283
83	0.3818630802
84	0.381776078
85	0.3816937827
86	0.3815884052
87	0.3815326819
88	0.3814390361
89	0.3813645168
90	0.381301494
91	0.381252873
92	0.3811841705
93	0.3810957351
94	0.381012428
95	0.38095922
96	0.3808689058
97	0.3808114319
98	0.3807278148
99	0.3806441197
100	0.3805889749
101	0.3805291051
102	0.380459913
103	0.3803719276
104	0.3802890602
105	0.3802029508
106	0.3801250175
107	0.3800555296
108	0.3799813026
109	0.3799256231
110	0.3798646791
111	0.3798244246
112	0.3797689982
113	0.379672697
114	0.3795970597
115	0.3795319483
116	0.3794637503
117	0.3793906563
118	0.3793405769
119	0.3793168501
120	0.37925254
121	0.3792013704
122	0.3791283355
123	0.3790775467
124	0.3790177298
125	0.3789523439
126	0.3788629031
127	0.3788003737
128	0.3787560794
129	0.37869019
130	0.3786332702
131	0.3785528409
132	0.3784853629
133	0.3784421225
134	0.378379932
135	0.3783145623
136	0.3782753213
137	0.3782312508
138	0.3781673134
139	0.378114039
140	0.3780718317
141	0.3780168565
142	0.3779439904
143	0.3778844533
144	0.3778281141
145	0.377790401
146	0.3777411494
147	0.3776906083
148	0.3776424352
149	0.3775899351
