iter	Passed	Remaining
0	66	9893
1	122	9098
2	169	8287
3	208	7603
4	234	6810
5	258	6215
6	319	6525
7	373	6635
8	396	6210
9	429	6008
10	454	5742
11	485	5579
12	507	5349
13	543	5280
14	569	5127
15	596	4998
16	624	4887
17	653	4791
18	678	4676
19	717	4665
20	738	4536
21	768	4472
22	803	4436
23	833	4374
24	857	4288
25	884	4218
26	906	4131
27	933	4066
28	961	4011
29	1000	4003
30	1050	4031
31	1076	3969
32	1096	3886
33	1115	3805
34	1141	3752
35	1182	3745
36	1241	3792
37	1266	3733
38	1297	3692
39	1323	3640
40	1351	3593
41	1375	3536
42	1395	3472
43	1424	3432
44	1459	3405
45	1482	3351
46	1509	3308
47	1535	3263
48	1565	3226
49	1590	3181
50	1624	3152
51	1668	3143
52	1687	3088
53	1712	3044
54	1735	2997
55	1755	2946
56	1786	2914
57	1814	2878
58	1834	2829
59	1873	2810
60	1905	2779
61	1940	2754
62	1996	2757
63	2020	2715
64	2046	2676
65	2077	2644
66	2130	2638
67	2192	2643
68	2233	2622
69	2286	2613
70	2314	2574
71	2337	2532
72	2369	2499
73	2388	2453
74	2413	2413
75	2437	2372
76	2465	2337
77	2489	2297
78	2511	2257
79	2535	2218
80	2558	2179
81	2582	2141
82	2606	2104
83	2629	2065
84	2657	2031
85	2680	1995
86	2712	1964
87	2737	1928
88	2767	1896
89	2799	1866
90	2827	1833
91	2847	1795
92	2868	1758
93	2899	1727
94	2926	1694
95	2948	1658
96	2981	1628
97	3005	1594
98	3028	1560
99	3066	1533
100	3113	1510
101	3173	1493
102	3225	1471
103	3283	1452
104	3344	1433
105	3388	1406
106	3435	1380
107	3483	1354
108	3585	1348
109	3676	1336
110	3767	1323
111	3818	1295
112	3909	1280
113	3992	1260
114	4070	1238
115	4111	1205
116	4135	1166
117	4163	1128
118	4186	1090
119	4201	1050
120	4225	1012
121	4247	974
122	4277	938
123	4302	902
124	4327	865
125	4349	828
126	4372	791
127	4396	755
128	4424	720
129	4455	685
130	4482	650
131	4509	614
132	4537	579
133	4557	544
134	4582	509
135	4602	473
136	4624	438
137	4643	403
138	4676	370
139	4720	337
140	4747	303
141	4775	269
142	4811	235
143	4835	201
144	4854	167
145	4954	135
146	5053	103
147	5138	69
148	5161	34
149	5239	0
