iter	Passed	Remaining
0	1	158
1	2	168
2	3	158
3	4	146
4	4	138
5	5	133
6	6	129
7	7	126
8	8	125
9	8	123
10	9	121
11	10	119
12	11	116
13	11	114
14	12	113
15	13	111
16	14	110
17	14	108
18	15	107
19	16	105
20	17	104
21	17	103
22	18	102
23	19	100
24	19	99
25	20	97
26	21	96
27	21	95
28	22	94
29	23	92
30	23	91
31	24	90
32	25	89
33	25	88
34	26	88
35	27	87
36	28	86
37	28	84
38	29	83
39	30	82
40	30	81
41	31	80
42	31	79
43	32	78
44	33	77
45	33	76
46	34	75
47	35	74
48	35	73
49	36	73
50	37	72
51	37	71
52	38	70
53	38	69
54	39	68
55	40	67
56	40	66
57	41	65
58	42	65
59	42	64
60	43	63
61	43	62
62	44	61
63	45	60
64	45	60
65	46	59
66	47	58
67	47	57
68	48	56
69	48	55
70	49	55
71	50	54
72	50	53
73	51	52
74	51	51
75	52	50
76	52	50
77	53	49
78	53	48
79	54	47
80	54	46
81	55	46
82	55	45
83	56	44
84	57	43
85	57	42
86	58	42
87	58	41
88	59	40
89	59	39
90	60	39
91	60	38
92	61	37
93	61	36
94	62	36
95	62	35
96	63	34
97	63	33
98	64	33
99	64	32
100	65	31
101	65	30
102	66	30
103	66	29
104	67	28
105	67	28
106	68	27
107	68	26
108	69	26
109	69	25
110	70	24
111	70	24
112	71	23
113	71	22
114	71	21
115	72	21
116	72	20
117	73	19
118	74	19
119	74	18
120	75	17
121	75	17
122	76	16
123	76	16
124	77	15
125	77	14
126	78	14
127	78	13
128	79	12
129	79	12
130	80	11
131	80	10
132	81	10
133	81	9
134	82	9
135	82	8
136	83	7
137	83	7
138	84	6
139	84	6
140	85	5
141	85	4
142	86	4
143	86	3
144	87	3
145	87	2
146	88	1
147	88	1
148	88	0
149	89	0
