iter	RMSE
0	16.2716329
1	15.85077552
2	15.44460701
3	15.03670037
4	14.64961991
5	14.27641422
6	13.97434161
7	13.64437635
8	13.32453718
9	13.03530023
10	12.72778197
11	12.44635103
12	12.17536718
13	11.9191883
14	11.66667539
15	11.4186605
16	11.18616683
17	10.95797814
18	10.74642264
19	10.55239612
20	10.35021174
21	10.1709019
22	9.976565397
23	9.806400574
24	9.639278451
25	9.50478687
26	9.362512042
27	9.216559106
28	9.069585141
29	8.921717863
30	8.780275308
31	8.662722367
32	8.520476361
33	8.395057067
34	8.28149427
35	8.184056557
36	8.083749058
37	7.982167157
38	7.885455246
39	7.799505074
40	7.702143413
41	7.623087372
42	7.531470044
43	7.4427236
44	7.36832928
45	7.292540624
46	7.229448056
47	7.162148863
48	7.100026921
49	7.044489209
50	6.974416704
51	6.934280531
52	6.881534047
53	6.823644087
54	6.774514786
55	6.718840771
56	6.660761465
57	6.619678381
58	6.573527475
59	6.509661789
60	6.466314117
61	6.430070522
62	6.382130726
63	6.333139188
64	6.292551088
65	6.254358522
66	6.216078245
67	6.181741219
68	6.130543332
69	6.096555106
70	6.065182872
71	6.022733982
72	5.992519651
73	5.963780866
74	5.93470314
75	5.907826607
76	5.871116605
77	5.841381472
78	5.817229741
79	5.79089121
80	5.768309438
81	5.738351882
82	5.714666616
83	5.690122344
84	5.663656752
85	5.634457179
86	5.600330646
87	5.573779833
88	5.555282622
89	5.532289
90	5.514165382
91	5.490532322
92	5.468970233
93	5.453373208
94	5.433463606
95	5.412576979
96	5.395208703
97	5.377707782
98	5.357248823
99	5.345595009
100	5.327030653
101	5.305835313
102	5.279911706
103	5.265629703
104	5.252841819
105	5.237160476
106	5.22452629
107	5.204939452
108	5.189293166
109	5.172367226
110	5.160621017
111	5.146348113
112	5.137972555
113	5.116445981
114	5.106573033
115	5.085530198
116	5.074011868
117	5.051809559
118	5.035890028
119	5.015740099
120	5.005144301
121	4.986513553
122	4.97105136
123	4.955844092
124	4.939338081
125	4.931892088
126	4.921022145
127	4.912158065
128	4.893998278
129	4.879825054
130	4.868786843
131	4.85912791
132	4.846312028
133	4.839484603
134	4.83294756
135	4.820094225
136	4.812261638
137	4.798786947
138	4.779908256
139	4.764560066
140	4.75334795
141	4.74231882
142	4.731886899
143	4.717654226
144	4.705965931
145	4.692757783
146	4.676914868
147	4.660929406
148	4.653957544
